Id_solucion,Solute_Mol_Mass,Num_Cations,Num_Anions,Cation,Anion,Temperature_C,Solvent_Mol_Mass,Molal,Molal_Activity_Coefficient,Osmotic_Coefficient,Solvent_Activity,T_Comportamiento
13,68.01,1,1,Na,CHO2,25,18.01528,1.6,0.947,1.141,0.936339645,1
13,68.01,1,1,Na,CHO2,25,18.01528,1.8,0.998,1.175,0.926626229,1
13,68.01,1,1,Na,CHO2,25,18.01528,2,1.055,1.21,0.916499278,1
13,68.01,1,1,Na,CHO2,25,18.01528,2.5,1.227,1.305,0.889096056,1
13,68.01,1,1,Na,CHO2,25,18.01528,3,1.448,1.406,0.859008038,1
13,68.01,1,1,Na,CHO2,25,18.01528,3.5,1.726,1.511,0.826506084,1
14,82.034,1,1,Na,C2H3O2,25,18.01528,0.1,0.791,0.94,0.996618729,4
14,82.034,1,1,Na,C2H3O2,25,18.01528,0.2,0.757,0.939,0.993255845,4
14,82.034,1,1,Na,C2H3O2,25,18.01528,0.3,0.744,0.945,0.989836996,4
14,82.034,1,1,Na,C2H3O2,25,18.01528,0.4,0.737,0.951,0.9863875,4
14,82.034,1,1,Na,C2H3O2,25,18.01528,0.5,0.735,0.959,0.982871392,4
14,82.034,1,1,Na,C2H3O2,25,18.01528,0.6,0.736,0.967,0.979311995,4
14,82.034,1,1,Na,C2H3O2,25,18.01528,0.7,0.74,0.977,0.975660111,4
14,82.034,1,1,Na,C2H3O2,25,18.01528,0.8,0.745,0.986,0.971979077,4
14,82.034,1,1,Na,C2H3O2,25,18.01528,0.9,0.752,0.994,0.968280946,4
14,82.034,1,1,Na,C2H3O2,25,18.01528,1,0.757,1.002,0.964540941,4
14,82.034,1,1,Na,C2H3O2,25,18.01528,1.2,0.769,1.018,0.956939603,4
14,82.034,1,1,Na,C2H3O2,25,18.01528,1.4,0.789,1.038,0.94898717,4
14,82.034,1,1,Na,C2H3O2,25,18.01528,1.6,0.809,1.057,0.940884395,4
14,82.034,1,1,Na,C2H3O2,25,18.01528,1.8,0.829,1.074,0.932716484,4
14,82.034,1,1,Na,C2H3O2,25,18.01528,2,0.851,1.092,0.924325497,4
14,82.034,1,1,Na,C2H3O2,25,18.01528,2.5,0.914,1.137,0.902653067,4
14,82.034,1,1,Na,C2H3O2,25,18.01528,3,0.982,1.181,0.880156101,4
14,82.034,1,1,Na,C2H3O2,25,18.01528,3.5,1.057,1.223,0.857075728,4
15,96.06,1,1,Na,C3H5O2,25,18.01528,0.1,0.8,0.944,0.996604777,4
15,96.06,1,1,Na,C3H5O2,25,18.01528,0.2,0.772,0.947,0.993199231,4
15,96.06,1,1,Na,C3H5O2,25,18.01528,0.3,0.763,0.955,0.989730099,4
15,96.06,1,1,Na,C3H5O2,25,18.01528,0.4,0.762,0.965,0.986188269,4
15,96.06,1,1,Na,C3H5O2,25,18.01528,0.5,0.764,0.975,0.982588365,4
15,96.06,1,1,Na,C3H5O2,25,18.01528,0.6,0.769,0.986,0.97890958,4
15,96.06,1,1,Na,C3H5O2,25,18.01528,0.7,0.777,0.997,0.975167527,4
15,96.06,1,1,Na,C3H5O2,25,18.01528,0.8,0.787,1.008,0.971363038,4
15,96.06,1,1,Na,C3H5O2,25,18.01528,0.9,0.797,1.02,0.967465029,4
15,96.06,1,1,Na,C3H5O2,25,18.01528,1,0.808,1.032,0.963498835,4
15,96.06,1,1,Na,C3H5O2,25,18.01528,1.2,0.833,1.058,0.955286484,4
15,96.06,1,1,Na,C3H5O2,25,18.01528,1.4,0.864,1.083,0.946835412,4
