Columna1,Solute_ID,Formula,Solute_Mol_Mass,Num_Cations,Num_Anions,Cation,Anion,Num_Particles,Cation_Charge,Anion_Charge,Temperature_K,Solvent_Name,Solvent_Mol_Mass,Molal,Salt_Mole_Fraction,Ion_Mole_Fraction,Solvent_Mole_Fraction,Molar,Logarithmic_Concentration,Weight_Percent,Mass_Ratio,Ionic_Strength,Molal_Activity_Coefficient,MAC_Num_Sig_Figs,Osmotic_Coefficient,OC_Num_Sig_Figs,Rational_Activity_Coefficient,Rational_Coefficient,Solvent_Activity
4,8,HBr       ,80.91,1,1,H         ,Br        ,2,1,-1,298.15,Water,18.01528,0.5,0.008927227,0.017696,0.982304,,0.991072369,0.038882,0.040455,0.5,0.789,3,0.993,3,0.803214,1.001935303,0.982270058
5,8,HBr       ,80.91,1,1,H         ,Br        ,2,1,-1,298.15,Water,18.01528,0.6,0.010693579,0.02116,0.97884,,1.187163446,0.046298,0.048546,0.6,0.801,3,1.007,4,0.818316,1.017904178,0.978465256
6,8,HBr       ,80.91,1,1,H         ,Br        ,2,1,-1,298.15,Water,18.01528,0.7,0.012453647,0.0246,0.9754,,1.382583879,0.053601,0.056637,0.7,0.815,3,1.023,4,0.835555,1.035867085,0.974529002
7,8,HBr       ,80.91,1,1,H         ,Br        ,2,1,-1,298.15,Water,18.01528,0.8,0.014207463,0.028016,0.971984,,1.577324114,0.060792,0.064728,0.8,0.832,3,1.038,4,0.855982,1.052930316,0.970523172
8,8,HBr       ,80.91,1,1,H         ,Br        ,2,1,-1,298.15,Water,18.01528,0.9,0.015955061,0.031408,0.968592,,1.771374544,0.067876,0.072819,0.9,0.85,3,1.054,4,0.877563,1.071045538,0.966398504
9,8,HBr       ,80.91,1,1,H         ,Br        ,2,1,-1,298.15,Water,18.01528,1,0.017696473,0.034777,0.965223,,1.964783021,0.074853,0.08091,1,0.871,3,1.072,4,0.902383,1.091221413,0.962111433
10,8,HBr       ,80.91,1,1,H         ,Br        ,2,1,-1,298.15,Water,18.01528,1.2,0.021160873,0.041444,0.958556,,2.349521827,0.088499,0.097091,1.2,0.917,3,1.111,4,0.956648,1.134870575,0.953099475
11,8,HBr       ,80.91,1,1,H         ,Br        ,2,1,-1,298.15,Water,18.01528,1.4,0.024600922,0.04802,0.95198,,2.731639631,0.101748,0.113274,1.4,0.969,3,1.147,4,1.017879,1.175706707,0.943783955
12,8,HBr       ,80.91,1,1,H         ,Br        ,2,1,-1,298.15,Water,18.01528,1.6,0.028016877,0.054506,0.945494,,3.111122156,0.114618,0.129456,1.6,1.029,4,1.184,4,1.088321,1.217819023,0.934021334
13,8,HBr       ,80.91,1,1,H         ,Br        ,2,1,-1,298.15,Water,18.01528,1.8,0.031408989,0.060905,0.939095,,3.488074203,0.127123,0.145637,1.8,1.094,4,1.222,4,1.164951,1.261214569,0.923806172
14,8,HBr       ,80.91,1,1,H         ,Br        ,2,1,-1,298.15,Water,18.01528,2,0.034777507,0.067217,0.932783,,3.862426132,0.139281,0.161819,2,1.168,4,1.261,4,1.252167,1.305913903,0.913137324
15,8,HBr       ,80.91,1,1,H         ,Br        ,2,1,-1,298.15,Water,18.01528,2.5,0.043097181,0.082633,0.917367,,4.787473117,0.168243,0.202275,2.5,1.389,4,1.365,4,1.514116,1.425592157,0.88430434
16,8,HBr       ,80.91,1,1,H         ,Br        ,2,1,-1,298.15,Water,18.01528,3,0.051274658,0.097547,0.902453,,5.69731182,0.195319,0.24273,3,1.674,4,1.475,4,1.854945,1.55336194,0.852625386
0,9,HI        ,127.91,1,1,H         ,I         ,2,1,-1,298.15,Water,18.01528,0.1,0.001798288,0.00359,0.99641,,0.199633839,0.012629,0.01279,0.1,0.818,3,0.953,3,0.820947,0.954827932,0.996571889
1,9,HI        ,127.91,1,1,H         ,I         ,2,1,-1,298.15,Water,18.01528,0.2,0.003590121,0.007154,0.992846,,0.398534609,0.024943,0.025581,0.2,0.807,3,0.969,3,0.812815,0.97260161,0.993041324
